title,year,length,budget,rating,mpaa,genres
"Era of Vampire, The",2002,90,1000000,4.2,R,action
Eros,2004,104,NA,5.4,R,drama
Escanaba in da Moonlight,2001,91,1000000,5.5,PG-13,comedy
Escape from Cuba,2003,97,NA,5.7,PG-13,"action, drama"
Esmeraldero,2002,117,NA,3.1,R,"drama, documentary"
"Espinazo del diablo, El",2001,108,4500000,7.4,R,drama
Eternal Sunshine of the Spotless Mind,2004,108,20000000,8.6,R,"drama, comedy, romance"
Eulogy,2004,91,10000000,6.5,R,"drama, comedy"
EuroTrip,2004,90,25000000,6.1,R,comedy
Evelyn,2002,94,10000000,7.1,PG,drama
EvenHand,2002,92,500000,7.3,R,drama
"Event, The",2003,110,NA,6,R,drama
Evergreen,2004,86,NA,5.1,PG-13,drama
Evil Alien Conquerors,2002,89,500000,3.8,PG-13,comedy
Evolution,2001,101,80000000,5.8,PG-13,comedy
Exit Wounds,2001,101,33000000,5.3,R,action
Exorcist: The Beginning,2004,114,30000000,5,R,action
"Experiment, Das",2001,119,NA,7.8,R,drama
Extreme Days,2001,93,NA,4.8,PG,"action, drama, comedy"
Extreme Force,2001,90,NA,4.6,R,action
Extreme Ops,2002,94,40000000,4,PG-13,action
"Face of the Serpent, The",2003,100,NA,5.1,R,action
Fade to Black,2004,109,NA,4.5,R,documentary
Fahrenheit 9/11,2004,122,6000000,7.9,R,documentary
"Falls, The",2003,85,75000,5.7,R,drama
Far from Heaven,2002,107,13500000,7.7,PG-13,"drama, romance"
Fascination,2004,95,5000000,3.3,R,"drama, romance"
"Fast and the Furious, The",2001,106,38000000,5.7,PG-13,action
Faster,2003,103,NA,6.4,PG-13,documentary
Fat Albert,2004,93,NA,4.2,PG,comedy
"Fate ignoranti, Le",2001,109,NA,7.4,R,drama
Fellini: Je suis un grand menteur,2002,105,NA,6.7,R,documentary
Festival Express,2003,90,NA,7.3,R,documentary
Festival in Cannes,2001,100,NA,6.4,PG-13,comedy
"Fetten Jahre sind vorbei, Die",2004,127,NA,7.9,R,"drama, comedy, romance"
Fever Pitch,2005,98,39690000,6.6,PG-13,"comedy, romance"
"Fighting Temptations, The",2003,123,NA,5.2,PG-13,comedy
Final,2001,111,80000,5.2,R,drama
"Final Curtain, The",2002,84,NA,5.4,R,drama
Final Fantasy: The Spirits Within,2001,106,137000000,6.5,PG-13,"action, animation"
Final Solution,2001,110,1500000,7,R,"action, drama"
Finder's Fee,2001,100,NA,5.9,R,drama
Finding Home,2003,124,NA,5.3,PG-13,drama
Finding Neverland,2004,106,NA,8.1,PG,drama
"Finestra di fronte, La",2003,106,NA,7.6,R,"drama, romance"
Fire Over Afghanistan,2003,92,155000,4.5,R,"action, drama"
"First $20 Million Is Always the Hardest, The",2002,105,NA,5.2,PG-13,comedy
Fish Without a Bicycle,2003,97,NA,4.5,R,"drama, comedy, romance"
"Fleur du mal, La",2003,101,NA,6.5,R,drama
Flight of the Phoenix,2004,113,45000000,6,PG-13,action
Flying Virus,2001,95,NA,3.5,R,action
"Fog of War: Eleven Lessons from the Life of Robert S. McNamara, The",2003,107,NA,8.4,PG-13,documentary
"Fond Kiss..., Ae",2004,104,NA,7.3,R,drama
Food of Love,2002,112,NA,6.4,R,drama
Foolproof,2003,94,NA,6.6,R,action
For da Love of Money,2002,97,NA,2.9,R,comedy
"Foreign Affair, A",2003,94,NA,6.3,PG-13,"drama, comedy"
"Foreigner, The",2003,96,20000000,3.1,R,action
Forgive Me Father,2001,138,NA,3.9,R,drama
"Forgotten, The",2004,94,42000000,5.8,PG-13,drama
"Four Feathers, The",2002,125,80000000,6.2,PG-13,drama
"Fourth Angel, The",2001,95,NA,5.4,R,"action, drama"
Frailty,2001,100,11000000,7.4,R,drama
Frankenfish,2004,84,3000000,4.6,R,"action, comedy"
Frankie and Johnny Are Married,2004,95,NA,6,R,comedy
Freaky Friday,2003,97,26000000,6.9,PG,"drama, comedy"
Freddy Got Fingered,2001,87,15000000,3.5,R,comedy
Freddy Vs. Jason,2003,97,25000000,6.1,R,action
Freeze Frame,2004,99,2000000,5.8,R,drama
Frida,2002,123,12000000,7.5,R,drama
Friday After Next,2002,85,20000000,4.9,R,comedy
Friday Night Lights,2004,117,30000000,7,PG-13,drama
Frogmen Operation Stormbringer,2002,90,NA,3.1,R,action
From Justin to Kelly,2003,90,12000000,1.7,PG,"comedy, romance"
Frostbite,2005,83,2400000,2.8,R,comedy
Fubar,2002,76,NA,7.1,R,comedy
Full Clip,2004,95,500000,4.1,R,action
Full Frontal,2002,101,2000000,5,R,"drama, comedy, romance"
G,2002,96,NA,7.9,R,"drama, romance"
G.O.D.,2001,91,NA,4.2,R,action
Gabriela,2001,93,NA,7.4,R,romance
Game Over: Kasparov and the Machine,2003,90,NA,6.7,PG,documentary
"Game of Their Lives, The",2005,101,20000000,6.4,PG,drama
Gang Tapes,2001,91,NA,5.7,R,drama
Gang of Roses,2003,94,NA,2.6,R,"action, drama"
Gangs of New York,2002,166,97000000,7.3,R,drama
Garage Days,2002,106,6000000,5.6,R,"drama, comedy"
Garden State,2004,109,2500000,8.1,R,"drama, comedy, romance"
Garfield,2004,80,50000000,4.8,PG,"comedy, animation"
"Gatekeeper, The",2002,103,NA,6.4,R,drama
Gaudi Afternoon,2001,93,NA,6.4,R,"drama, comedy"
"Gentleman's Game, A",2001,112,NA,6.4,R,drama
Gerry,2002,105,3500000,6,R,drama
"Geschichte vom weinenden Kamel, Die",2003,90,NA,7.4,PG,"drama, documentary"
Get Over It,2001,87,10000000,5.7,PG-13,"comedy, romance"
Get Well Soon,2001,95,NA,5,R,"drama, comedy, romance"
Ghost Rock,2003,101,NA,3.4,R,"action, drama"
Ghosts of Mars,2001,98,28000000,4.6,R,action
Ghosts of the Abyss,2003,43,13000000,6.6,PG,documentary
Gigli,2003,121,54000000,2.3,R,"comedy, romance"
Girl Fever,2002,98,NA,4.7,R,"comedy, romance"
"Girl Next Door, The",2004,110,NA,6.8,R,"comedy, romance"
Girl with a Pearl Earring,2003,100,NA,7.3,PG-13,drama
Glitter,2001,104,22000000,2.1,PG-13,"drama, romance"
Global Effect,2002,92,NA,5.2,R,"action, drama"
Global Heresy,2002,106,12000000,5.7,R,drama
Go Tigers!,2001,103,NA,7.7,R,documentary
Go for Broke,2002,85,NA,4.8,R,comedy
Gods and Generals,2003,209,56000000,5.7,PG-13,"action, drama"
Godsend,2004,102,NA,4.8,PG-13,drama
Going Greek,2001,90,198000,4.8,R,comedy
Going Upriver: The Long War of John Kerry,2004,87,NA,7.8,PG-13,documentary
Going the Distance,2004,93,NA,5.3,R,comedy
Gojira tai Mekagojira,2002,88,NA,6.6,PG,action
Gong fu,2004,99,20000000,7.9,R,"action, comedy"
Good Advice,2001,93,NA,6.1,R,"comedy, romance"
Good Boy!,2003,88,18000000,4.7,PG,"drama, comedy"
Good Bye Lenin!,2003,121,NA,7.8,R,"drama, comedy, romance"
"Good Girl, The",2002,93,5000000,6.9,R,"drama, comedy"
"Good Night to Die, A",2003,100,NA,4.8,R,"action, comedy"
Gosford Park,2001,137,15000000,7.3,R,drama
"Gospel of John, The",2003,180,NA,7.1,PG-13,drama
Grand Theft Parsons,2003,88,NA,5.9,PG-13,"drama, comedy"
Green Dragon,2001,115,NA,6.1,PG-13,drama
"Greenskeeper, The",2002,90,80000,4.7,R,comedy
"Grey Zone, The",2001,108,5000000,7.3,R,drama
"Grey, The",2004,86,NA,8.8,R,drama
Grind,2003,105,NA,4.5,PG-13,comedy
"Groomsmen, The",2001,89,NA,5.5,R,comedy
Guess Who,2005,106,NA,4.9,PG-13,"comedy, romance"
Gunner Palace,2004,85,NA,6.4,PG-13,documentary
"Guru, The",2002,94,11000000,5.9,R,"comedy, romance"
"Guy Thing, A",2003,101,20000000,5.3,PG-13,"comedy, romance"
"Guys, The",2002,85,NA,6.4,PG,drama
Gypsy 83,2001,94,NA,6.6,R,drama
Hable con ella,2002,112,NA,8.1,R,drama
Haiku Tunnel,2001,88,NA,5.9,R,comedy
Hair Show,2004,105,NA,2.6,PG-13,"comedy, romance"
Half Past Dead,2002,98,30000000,3.9,PG-13,action
Happy Campers,2001,94,NA,5.4,R,comedy
Hard Ball,2001,109,21000000,6,PG-13,drama
"Hard Word, The",2002,102,NA,6.1,R,"drama, comedy"
Harold & Kumar Go to White Castle,2004,90,9000000,7.1,R,comedy
Hart's War,2002,125,70000000,6.2,R,drama
Harvard Man,2001,99,5500000,4.9,R,"drama, romance"
Haunted Castle,2001,38,NA,5,PG,"animation, short"
"Haunted Mansion, The",2003,87,90000000,5,PG,comedy
Hauru no ugoku shiro,2004,119,NA,8,PG,"romance, animation"
Haute tension,2003,85,NA,6.8,R,drama
He ni zai yi qi,2002,117,NA,7.3,PG,drama
Head Over Heels,2001,86,14000000,4.9,PG-13,"comedy, romance"
Head in the Clouds,2004,132,NA,5.7,R,"drama, romance"
Head of State,2003,95,NA,5.1,PG-13,comedy
"Heart Is Deceitful Above All Things, The",2004,97,NA,6.1,R,drama
Heart of America,2003,87,3000000,6.1,R,drama
"Heart of Me, The",2002,96,7000000,6.2,R,"drama, romance"
Heartbreakers,2001,110,40000000,6.2,PG-13,"comedy, romance"
Heartlands,2002,90,NA,6.2,PG-13,"drama, comedy"
Hearts in Atlantis,2001,101,31000000,6.7,PG-13,drama
Heaven,2002,96,11000000,7.3,R,drama
"Hebrew Hammer, The",2003,87,NA,6.3,R,comedy
Hedwig and the Angry Inch,2001,93,6000000,7.7,R,"drama, comedy, romance"
Heights,2005,93,NA,4,R,drama
"Helix... Loaded, The",2005,97,1000000,2.3,R,"action, comedy"
Hellboy,2004,132,66000000,6.7,PG-13,action
Herman U.S.A.,2001,92,NA,5.6,PG-13,"comedy, romance"
Hey Arnold! The Movie,2002,76,10000000,4.8,PG,"comedy, animation"
Hidalgo,2004,136,78000000,6.6,PG-13,"action, drama"
Hidden Agenda,2001,98,5000000,4.2,R,action
Hide and Seek,2005,101,30000000,5.2,R,drama
High Crimes,2002,115,42000000,6.1,PG-13,drama
High Heels and Low Lifes,2001,86,NA,6.1,R,"action, drama, comedy"
High Times Potluck,2002,90,NA,3.5,R,comedy
Highwaymen,2003,80,NA,5.6,R,action
"Hija del canibal, La",2003,110,NA,6.5,R,"drama, comedy, romance"
"Hijo de la novia, El",2001,123,NA,7.7,R,"drama, comedy"
"Hillz, The",2004,91,100000,3.1,R,"drama, comedy"
HipHopBattle.com: Hip Hop 4 Life,2001,98,12000,5.7,PG-13,"drama, comedy, romance"
Hitch,2004,12,NA,6.9,PG-13,"drama, short"
"Hitchhiker's Guide to the Galaxy, The",2005,110,50000000,6.9,PG,comedy
Holes,2003,117,30000000,7.2,PG,"drama, comedy"
Hollywood Ending,2002,112,16000000,6.3,PG-13,"drama, comedy"
Hollywood Homicide,2003,116,75000000,5.2,PG-13,"action, comedy"
Hollywood North,2003,89,7000000,5.7,R,comedy
"Hollywood Sign, The",2001,90,12000000,5.3,R,comedy
Hollywood Vampyr,2002,90,NA,5.2,R,drama
"Holy Land, The",2001,102,NA,6.9,R,drama
Home Room,2002,133,NA,7.3,R,drama
"Home at the End of the World, A",2004,96,6500000,6.5,R,"drama, romance"
Home on the Range,2004,76,110000000,5.4,PG,"comedy, animation"
"Homem Que Copiava, O",2003,124,NA,8.4,R,"drama, comedy, romance"
Hometown Legend,2002,108,2000000,4.6,PG,drama
"Homme du train, L'",2002,90,NA,7.4,R,drama
Honey,2003,94,17000000,3.9,PG-13,"drama, romance"
Hoover Street Revival,2002,104,NA,7.2,PG-13,documentary
Hope Springs,2003,92,NA,5,PG-13,"comedy, romance"
"Hostage Negotiator, The",2001,87,NA,5.1,PG-13,drama
"Hot Chick, The",2002,100,NA,5.6,PG-13,comedy
Hotel Rwanda,2004,121,NA,8.5,PG-13,drama
"Hours, The",2002,114,25000000,7.6,PG-13,drama
"House Next Door, The",2002,87,NA,4.5,R,drama
House of D,2004,97,NA,6.1,PG-13,drama
House of Sand and Fog,2003,126,16000000,7.8,R,drama
House of the Dead,2003,90,7000000,2.3,R,action
"House on Turk Street, The",2002,103,12000000,5.5,R,drama
How Harry Became a Tree,2001,99,6000000,6.7,R,drama
How High,2001,95,12000000,4.9,R,comedy
How to Deal,2003,102,16000000,5.5,PG-13,"drama, comedy, romance"
How to Get the Man's Foot Outta Your Ass,2003,109,NA,7.6,R,drama
How to Lose a Guy in 10 Days,2003,116,50000000,6.1,PG-13,"comedy, romance"
Hulk,2003,138,120000000,6.1,PG-13,"action, drama"
Human Nature,2001,96,NA,6.1,R,comedy
"Human Stain, The",2003,106,NA,6.4,R,"drama, romance"
Hundstage,2001,127,NA,7,R,drama
"Hunted, The",2003,117,NA,5.5,R,"action, drama"
I Am David,2003,90,NA,6.5,PG,drama
I Am Sam,2001,132,22000000,7.2,PG-13,drama
I Capture the Castle,2003,111,8000000,7,R,"drama, romance"
I Heart Huckabees,2004,106,22000000,7,R,comedy
I Love You Baby,2001,110,NA,5.7,R,"comedy, romance"
I Love Your Work,2003,104,NA,4.6,R,drama
I Spy,2002,97,70000000,5.3,PG-13,"action, comedy"
I'll Be There,2003,109,NA,5.2,PG-13,"comedy, romance"
I'll Sleep When I'm Dead,2003,103,NA,5.8,R,drama
I'm with Lucy,2002,90,15000000,6.2,R,"comedy, romance"
"I, Robot",2004,115,105000000,7,PG-13,action
Ice Age,2002,81,60000000,7.3,PG,"comedy, animation"
IceMaker,2003,92,NA,5.8,R,"action, comedy"
Identity,2003,90,30000000,7.3,R,drama
Igby Goes Down,2002,99,9000000,7.1,R,"drama, comedy"
Ignition,2001,96,NA,5,R,"action, drama"
Imaginary Heroes,2004,112,10000000,7,R,"drama, comedy"
Imagining Argentina,2003,107,NA,5.9,R,"drama, romance"
"Importance of Being Earnest, The",2002,97,15000000,6.8,PG,"drama, comedy, romance"
Impostor,2002,102,40000000,5.8,R,"action, drama"
In America,2002,105,NA,8.1,R,"drama, romance"
In Enemy Hands,2004,94,NA,6.2,R,"action, drama"
In Good Company,2004,109,NA,7.1,PG-13,"drama, comedy"
In This World,2002,88,1900000,7.8,R,drama
In Your Face,2002,105,NA,7.4,PG-13,action
In the Bedroom,2001,130,1700000,7.4,R,drama
In the Shadows,2001,105,10000000,4.8,R,drama
Incident at Loch Ness,2004,94,1400000,6.4,PG-13,comedy
"Incredibles, The",2004,121,92000000,8.3,PG,"action, comedy, animation"
Inheritance,2004,89,NA,5.4,R,drama
Inside Deep Throat,2005,92,NA,6.7,NC-17,documentary
Inside I'm Dancing,2004,104,NA,6.7,R,drama
Insomnia,2002,118,46000000,7.3,R,drama
Instinct to Kill,2001,90,NA,4.4,R,action
Intacto,2001,104,NA,6.8,R,drama
"Intended, The",2002,110,3800000,6.8,R,drama
Intermission,2003,102,5000000,6.4,R,"drama, comedy"
"Interpreter, The",2005,128,80000000,6.6,PG-13,drama
Interstate 60,2002,116,7000000,7.7,R,"drama, comedy"
Interview with the Assassin,2002,88,750000,6.7,R,drama
Intimacy,2001,115,NA,6.6,R,drama
Into the Sun,2005,97,16000000,4,R,action
Intolerable Cruelty,2003,100,60000000,6.6,PG-13,"comedy, romance"
"Invasions barbares, Les",2003,112,5000000,7.9,R,"drama, comedy"
"Invisible Circus, The",2001,92,NA,5.3,R,drama
Io non ho paura,2003,107,NA,7.7,R,drama
It Runs in the Family,2003,109,NA,5.4,PG-13,drama
It's All About Love,2003,105,NA,5.7,R,"drama, romance"
It's All Gone Pete Tong,2004,90,NA,8,R,"drama, comedy"
"Italian Job, The",2003,111,60000000,6.9,PG-13,action
Jackass: The Movie,2002,87,5000000,6.1,R,"comedy, documentary"
Jacked,2001,120,NA,4.8,R,drama
Jackpot,2001,97,400000,5.2,R,"drama, comedy"
Jake's Booty Call,2003,77,50000,7,R,comedy
Jane White Is Sick & Twisted,2002,84,NA,5.3,R,"drama, comedy, romance"
Japanese Story,2003,105,5740000,7,R,drama
Jay and Silent Bob Strike Back,2001,104,22000000,6.9,R,comedy
Jeepers Creepers,2001,90,10000000,5.4,R,drama
Jericho Mansions,2003,98,NA,5,R,drama
Jersey Girl,2004,102,35000000,6.4,PG-13,"drama, comedy"
Jersey Guy,2003,90,NA,1,R,"drama, comedy"
Jeux d'enfants,2003,93,NA,7,R,"drama, romance"
Jian gui,2002,94,NA,6.9,R,drama
Jibeuro,2002,88,NA,7.5,PG,drama
Jiminy Glick in La La Wood,2004,90,NA,6.3,R,comedy
"Jimmy Show, The",2001,99,1000000,4.6,R,"drama, comedy"
Joe Dirt,2001,91,16000000,5.1,PG-13,"comedy, romance"
Joe Somebody,2001,98,38000000,5.5,PG,"drama, comedy, romance"
John Q,2002,116,36000000,6.4,PG-13,drama
Johnny English,2003,87,35000000,5.6,PG,"action, comedy"
Johnson Family Vacation,2004,97,12000000,3.6,PG-13,comedy
Josie and the Pussycats,2001,98,22000000,5.2,PG-13,comedy
Juana la Loca,2001,115,NA,6.5,R,drama
Judgment,2001,105,11000000,4.6,PG-13,drama
Julie Walking Home,2002,118,5000000,7.3,R,"drama, romance"
Jump Tomorrow,2001,97,NA,6.8,PG,"drama, comedy, romance"
Jurassic Park III,2001,92,93000000,5.6,PG-13,action
Just Married,2003,95,NA,5,PG-13,"comedy, romance"
Just a Kiss,2002,89,NA,5.2,R,"comedy, romance"
Juwanna Mann,2002,91,15600000,3.9,PG-13,comedy
K-19: The Widowmaker,2002,140,100000000,6.6,PG-13,drama
K-PAX,2001,120,48000000,7.2,PG-13,drama
Kaante,2002,150,NA,5.2,R,drama
Kangaroo Jack,2003,89,60000000,3.9,PG,comedy
Kart Racer,2003,94,NA,5.7,PG,"drama, comedy"
Kate & Leopold,2001,123,48000000,6.3,PG-13,"comedy, romance"
Keane,2004,100,850000,6.3,R,drama
Kept,2001,98,NA,4.3,R,drama
Kevin of the North,2001,100,NA,4.4,PG-13,comedy
Kicking & Screaming,2005,95,NA,6.3,PG,comedy
"Kid Stays In the Picture, The",2002,93,NA,7.5,R,documentary
Kids World,2001,93,NA,4.6,PG,comedy
Kill Bill: Vol. 1,2003,111,55000000,8.3,R,"action, drama"
Kill Bill: Vol. 2,2004,136,30000000,8.3,R,"action, drama"
Kill Me Later,2001,89,NA,5.9,R,"drama, romance"
Killer Bud,2001,92,NA,3.7,R,comedy
Killer Diller,2004,95,NA,7.6,PG-13,drama
"Killer Within, A",2004,110,NA,5,R,drama
Killing Me Softly,2002,104,25000000,5.4,R,drama
King Arthur,2004,140,90000000,6,R,"action, drama"
King Rikki,2002,91,NA,4.2,R,drama
King of the Jungle,2001,87,NA,5.8,R,drama
King's Ransom,2005,95,NA,2,PG-13,comedy
Kingdom of Heaven,2005,145,130000000,7,R,"action, drama"
Kinsey,2004,118,11000000,7.6,R,drama
Kiss of the Dragon,2001,98,25000000,6.2,R,"action, drama"
Kiss the Bride,2002,89,NA,5.5,R,"drama, romance"
"Kiss, The",2004,25,6000,5.8,PG-13,short
Kissing Jessica Stein,2001,97,1000000,7,R,"comedy, romance"
Knafayim Shvurot,2002,84,NA,7.9,R,drama
"Knight's Tale, A",2001,132,41000000,6.5,PG-13,"action, comedy"
Knockaround Guys,2001,91,NA,5.9,R,"action, drama, comedy"
Knots,2004,93,NA,7.5,R,comedy
Kukushka,2002,105,NA,7.9,PG-13,"drama, comedy"
Kung Phooey!,2003,87,NA,4.1,R,comedy
Kung Pow: Enter the Fist,2002,82,10000000,5.1,PG-13,"action, comedy"
L.A. D.J.,2004,92,NA,4.9,R,comedy
L.I.E.,2001,97,NA,7.2,R,drama
Ladder 49,2004,115,NA,6.5,PG-13,"action, drama"
Ladies in Lavender,2004,103,NA,6.9,PG-13,drama
Lady Killers,2003,90,NA,3.1,PG-13,comedy
"Ladykillers, The",2004,104,35000000,6.4,R,comedy
Lagaan: Once Upon a Time in India,2001,224,NA,7.5,PG,"drama, romance"
Lan yu,2001,89,NA,7,R,"drama, romance"
Lana's Rain,2002,107,215000,7.1,R,drama
Landspeed,2002,94,NA,4.5,PG-13,"action, drama"
Lantana,2001,121,NA,7.6,R,drama
Lara Croft Tomb Raider: The Cradle of Life,2003,117,90000000,5.2,PG-13,action
Lara Croft: Tomb Raider,2001,100,80000000,5.2,PG-13,action
"Last Castle, The",2001,131,60000000,6.4,R,"action, drama"
"Last Minute, The",2001,104,NA,6,R,drama
Last Orders,2001,109,12000000,7.1,R,drama
Last Run,2001,91,NA,4.8,R,action
"Last Samurai, The",2003,154,100000000,7.9,R,"action, drama"
"Last Shot, The",2004,93,NA,5.5,R,comedy
Last Wedding,2001,100,NA,6.4,R,"drama, comedy"
Latter Days,2003,107,850000,7.3,R,"drama, comedy, romance"
Laurel Canyon,2002,103,NA,6.5,R,drama
"Lawless Heart, The",2001,86,NA,7,R,"drama, comedy"
Laws of Attraction,2004,90,28000000,5.7,PG-13,"comedy, romance"
Layer Cake,2004,105,NA,7.1,R,"action, drama"
"League of Extraordinary Gentlemen, The",2003,110,78000000,5.4,PG-13,action
"Learning Curve, The",2001,113,1000000,5.2,R,drama
Legally Blonde,2001,96,18000000,6.4,PG-13,comedy
"Legally Blonde 2: Red, White & Blonde",2003,95,45000000,4.4,PG-13,comedy
Legend of the Phantom Rider,2002,100,NA,5.8,R,action
Legion of the Dead,2001,92,2700000,3.4,R,comedy
Lemony Snicket's A Series of Unfortunate Events,2004,108,125000000,6.7,PG,comedy
Leo,2002,103,NA,6.4,R,drama
Lethal,2005,90,NA,1.8,R,action
Levity,2003,100,7500000,6.4,R,drama
Liars Club,2001,99,NA,6.1,R,"comedy, romance"
Liberty Stands Still,2002,92,11000000,5.6,R,drama
"Life Aquatic with Steve Zissou, The",2004,118,25000000,7.3,R,"drama, comedy"
Life Without Dick,2001,97,NA,4.1,PG-13,"comedy, romance"
Life as a House,2001,127,18000000,7.5,R,"drama, comedy"
"Life of David Gale, The",2003,130,50000000,7.1,R,drama
Life or Something Like It,2002,105,NA,5.7,PG-13,"comedy, romance"
Life/Drawing,2001,89,NA,7.6,R,"comedy, romance"
Lightning in a Bottle,2004,108,NA,6.2,PG-13,documentary
Like Mike,2002,99,30000000,4.9,PG,comedy
Lilja 4-ever,2002,109,NA,8,R,drama
Lilo & Stitch,2002,86,80000000,7.3,PG,"drama, comedy, animation"
Lip Service,2001,95,NA,4.2,R,"drama, comedy"
Liquid Bridge,2003,98,NA,3.5,R,"action, drama"
Little Black Book,2004,111,35000000,4.7,PG-13,"drama, comedy, romance"
"Little Inside, A",2001,95,NA,5.6,PG,"drama, comedy"
Little Secrets,2001,97,2500000,6.9,PG,drama
Live Forever,2003,82,NA,6.8,R,documentary
"Lizzie McGuire Movie, The",2003,94,17000000,5,PG,comedy
Lloyd,2001,74,NA,5,PG,"drama, comedy"
Lone Star State of Mind,2002,88,NA,5.6,PG-13,comedy
Looney Tunes: Back in Action,2003,91,80000000,6.1,PG,"action, comedy, animation"
"Lord of the Rings: The Fellowship of the Ring, The",2001,208,93000000,8.8,PG-13,action
"Lord of the Rings: The Return of the King, The",2003,251,94000000,9,PG-13,action
"Lord of the Rings: The Two Towers, The",2002,223,94000000,8.8,PG-13,action
Lost In La Mancha,2002,89,NA,7.4,R,documentary
Lost Junction,2003,95,NA,5.1,R,"drama, romance"
"Lost Skeleton of Cadavra, The",2001,90,NA,6.7,PG,comedy
Lost Treasure,2003,85,NA,3.9,R,action
Lost and Delirious,2001,103,NA,7,R,"drama, romance"
Lost in Translation,2003,102,4000000,8,R,"drama, comedy"
"Lot Like Love, A",2005,107,30000000,4.6,PG-13,"drama, comedy, romance"
Love Actually,2003,129,NA,7.7,R,"drama, comedy, romance"
Love Don't Cost a Thing,2003,100,NA,4.1,PG-13,"drama, comedy, romance"
Love In the Time of Money,2002,90,NA,5.5,R,"drama, comedy"
Love Liza,2002,90,1000000,6.6,R,drama
Love Object,2003,88,1000000,6.3,R,comedy
"Love Song for Bobby Long, A",2004,119,NA,6.7,R,drama
Love and a Bullet,2002,85,NA,5.2,R,action
Love the Hard Way,2001,104,NA,6.1,R,"drama, romance"
"Love, Sex and Eating the Bones",2003,100,NA,5.7,R,"comedy, romance"
Lovely & Amazing,2001,91,250000,6.9,R,"drama, comedy"
Lucky,2002,83,NA,6.2,R,comedy
Lucky 13,2004,95,1200000,5.7,R,"comedy, romance"
Lucky Break,2001,108,6000000,6.3,PG-13,comedy
"Lunes al sol, Los",2002,113,4000000,7.8,R,drama
Luther,2003,121,NA,7.1,PG-13,drama
M.O. of M.I.,2002,90,NA,5.5,R,drama
Ma femme est une actrice,2001,93,NA,6.7,R,"drama, comedy"
Made,2001,94,5000000,6.5,R,"drama, comedy"
Made-Up,2002,96,NA,6.5,PG-13,"drama, comedy"
Madison,2001,94,NA,5.8,PG,drama
"Magdalene Sisters, The",2002,119,NA,8,R,drama
Maid in Manhattan,2002,105,55000000,4.6,PG-13,"comedy, romance"
Mail Order Bride,2003,84,NA,4.2,R,comedy
Mail Order Wife,2004,92,NA,7,R,comedy
"Majestic, The",2001,156,72000000,6.7,PG,"drama, romance"
Malevolent,2002,95,NA,5,R,drama
Malibu's Most Wanted,2003,86,16000000,4.9,PG-13,comedy
Mambo italiano,2003,92,NA,6.6,R,comedy
"Man Apart, A",2003,110,36000000,5.4,R,"action, drama"
"Man Who Wasn't There, The",2001,118,20000000,7.7,R,"drama, comedy"
"Man from Elysian Fields, The",2001,106,6500000,6.8,R,drama
Man of the House,2005,97,40000000,5.2,PG-13,"action, comedy"
Man on Fire,2004,146,70000000,7.4,R,"action, drama"
Man-Thing,2005,96,30000000,3.8,R,action
Maniacts,2001,92,NA,5.7,R,"action, comedy, romance"
Manic,2001,100,NA,7.4,R,drama
Manna From Heaven,2002,119,NA,5.9,PG,comedy
"Manson Family, The",2003,95,NA,5.1,R,drama
"Maquinista, El",2004,102,5000000,7.7,R,drama
Marci X,2003,80,20000000,2.8,R,comedy
Maria Full of Grace,2004,101,NA,7.7,R,drama
Marilyn's Man,2004,92,825000,7.6,PG,documentary
Martin Lawrence Live: Runteldat,2002,113,3000000,4.6,R,"comedy, documentary"
Masked and Anonymous,2003,112,NA,4.9,PG-13,"drama, comedy"
Master and Commander: The Far Side of the World,2003,138,150000000,7.5,PG-13,"action, drama"
"Master of Disguise, The",2002,80,16000000,2.9,PG,comedy
Matchstick Men,2003,120,NA,7.4,PG-13,"drama, comedy"
"Matrix Reloaded, The",2003,138,127000000,7.1,R,action
"Matrix Revolutions, The",2003,125,110000000,6.3,R,action
Max Keeble's Big Move,2001,86,12000000,5.3,PG,comedy
May,2002,93,1700000,6.8,R,drama
Mayor of the Sunset Strip,2003,94,NA,7.5,R,documentary
Me Without You,2001,107,NA,6.6,R,drama
Me and You and Everyone We Know,2005,90,NA,5.7,R,drama
Mean Creek,2004,89,500000,7.3,R,drama
Mean Girls,2004,97,17000000,7,PG-13,"drama, comedy"
Mean Machine,2001,101,NA,6.1,R,"drama, comedy"
"Medallion, The",2003,88,41000000,4.5,PG-13,"action, comedy"
"Medicine Show, The",2001,100,NA,6.3,R,"drama, comedy, romance"
Meet the Fockers,2004,115,80000000,6.5,PG-13,comedy
Melinda and Melinda,2004,100,NA,6.8,PG-13,"drama, comedy"
Melvin Goes to Dinner,2003,83,NA,7.3,R,"drama, comedy"
Men in Black II,2002,88,140000000,5.6,PG-13,"action, comedy"
Men with Brooms,2002,102,7500000,5.9,R,"drama, comedy, romance"
"Mentale, La",2002,106,NA,5.2,R,"action, drama"
"Merchant of Venice, The",2004,138,30000000,7.3,R,"drama, comedy"
Metoroporisu,2001,107,14500000,7.3,PG-13,"action, drama, romance, animation"
"Mexican, The",2001,123,38000000,6,R,"comedy, romance"
"Mi Casa, Su Casa",2003,94,NA,5.1,PG,comedy
Michael Moore Hates America,2004,125,200000,4.2,R,documentary
Mickey,2004,90,6000000,5.4,PG,drama
